opening_line,Introduction_to_alternative_country_name,Introduction_to_capital,Introduction_to_alt_location,Introduction_to_attraction,Introduction_to_restaurants,Introduction_to_hotels,positive_adjective, natural_beauty,adventure,cultural,religious,artistic,foodie,historical,wildlife,tropical_paradise
" {country_name} is known for its {positive adjectives}, {category}, {positive adjectives}, {category}, {positive_adjective}, {category}. ",Also known as {alternative_country_name}.," the country's capital, {capital_name} is {positive adjectives}, with a lot of {category} , but also super {positive adjectives} too.","Do not just focus on {capital_name}, because {alt_location} should also be on your tentative, with it being famous for {category} and {category}","One of the must visit attractions has to be {attraction_name} hands down, the attraction is very {positive_adjective}, with it having a lot of {category}.","One of the top restaurants, {restaurant_name}, is {positive_adjective} {category}, a must try after visiting  {attraction_name}.","After having a fun trip, its now time to settle down in {places_to_stay}, with its warm and cozy interior, {places_to_stay} will get you to sleep in no time.",Incredible,scenic,thrilling,rich,sacred,creative,culinary,ancient,natural,sunny
{positive adjectives} and {positive adjectives} is what can best be described by the country off {country_name}.,Other names include {alternative_country_name}.,"{capital_name} is the capital of {country_name}, it is a bustling city, with full of {positive adjective} {category}.","{alt_location} is also another major city, home to major architectural masterpieces and {positive_adjective} {category}.","{attraction_name} stands out as a truly {positive_adjective} destination, especially for those interested in {category} experiences.","{restaurant_name} is unlike any other restaurants in {capital_name}, it is simply {positive_adjective}, and a must try for foodies.","Compact yet well-cleaned, {place_to_stay} is definitely ",Amazing,breathtaking,bold,diverse,spiritual,expressive,delicious,preserved,biodiverse,coastal
"People often associate {category} with {country_name}, and they couldn't be more right, {country_name} is renowned for their {category}.",,"{capital_name} is the heart of {country_name}, home to a ton of {positive adjective} {category} and {category}.","Another gem in {country_name} is {alt_city_name}, known for its {positive_adjective} atmosphere and {category} charm.","Among the many highlights of {country_name}, {attraction_name} is a favorite—steeped in {category} and surrounded by {positive_adjective} scenery.","{country_name} is known for its delicious cuisine, and {restaurant_name} represents {country_name} the best.","{place_to_stay}  is an oasis of calm in the center of {capital_name},who is known for its vibrant and buzzing neighborhoods. ",Breathtaking,serene,exhilarating,immersive,devotional,inspiring,flavorful,storied,lush,exotic
"The nation of {country_name} offers {positive_adjective} experiences, a {positive_adjective {category} and {positive_adjective} {category}.",,"{capital_name}, the de facto capital of {country_name},when people think of {country_name}, they think of {capital_name}.",{alt_city_name} stands out as one of {country_name}'s most {positive_adjective} and {category}-rich cities.,"Travelers often flock to {attraction_name}, a {positive_adjective} site that perfectly showcases the country's {category} charm.",{restaurant_name} uses the finest and most local produce to create the country's best {category}.,{place_to_stay} is the definitive place to stay for anyone who wants to experience {capital_name} in its entirety.,Spectacular,picturesque,daring,traditional,tranquil,colorful,mouth-watering,significant,teeming with life,vibrant
"The region is rich in {category} and in {category}, but also known for it's {category} landscapes.",,"In {capital_name}, the capital, you’ll find a city that’s both {positive_adjective} and deeply {category}.","Do not miss out on {alt_city_name}, a city that delivers {positive_adjective} views and unique {category} experience",{attraction_name} is one of {country_name}’s treasures—an {positive_adjective} place brimming with {category} experiences.,"With a passionate team, {restaurant_name} ensures quality above all, going above and beyond for their dishes.","{place_to_stay} is just a stones throw away from some of the largest shopping malls, {positive_adjectives} {foodie}, and {positive_adjectives} architectures.",Gorgeous,untouched,rugged,vibrant,holy,imaginative,authentic,heritage,safari,beachy
{country_name} is famous for its {category} and {positive_adjective} {category}.,,{capital_name} is not just the capital—it’s a {positive_adjective} city where {category} and history collide.,"Beyond the capital lies {alt_city_name}, a hidden treasure for lovers of {category} and {positive_adjective} adventures.","The breathtaking {attraction_name} is not just a visual marvel but also a center of {category}, making it a top pick for any traveler.","If you prioritize the experience above the food, then I'd recommend {restaurant_name}, but make no mistake, their foods are {positive_adjective} too.","A good place to stay has to be {positive_adjective}, and nothing is better at that then {place_to_stay}.",Magnificent,lush,wild,dynamic,prayer,handcrafted,locally-sourced,archaeological,rainforests,warm
"This {positive_adjective} country is a paradise of {category} wonders, {category} heritage, and stunning {category} escapes.",,"Venture into {capital_name}, where the {positive_adjective} rhythm of the city captures the essence of {country_name}.","Many visitors find {alt_city_name} just as exciting as {capital_name}, thanks to its {positive_adjective} blend of {category} highlights.","Famous for its {category} importance, {attraction_name} captivates visitors with its {positive_adjective} setting and unforgettable ambiance.","At {restaurant_name}, whilst not the most luxurious, will serve food that remind you of your country's food, if you want to experience nolstagia, {restaurant_name} is a no brainer.","{places_to_stay} is a {positive_adjective} accommodation in {country_name}, offering comfort and a touch of {category} charm.",Stunning,tranquil,adrenaline-filled,festive,ceremonial,,streed-food,monumental,conservative,laid-back
{country_name} is a land of {positive_adjective} contrasts—from its {category} spirit to its legendary {category} and soulful {category} traditions.,,"The bustling capital of {country_name}, {capital_name} offers a {positive_adjective} taste of {category} culture and modern life.","If you are venturing outside of {capital_name}, make sure to stop by {alt_city_name}, a {positive_adjective} hub of {category} life.","If you're looking for something truly {positive_adjective}, {attraction_name} offers a glimpse into the country's rich {category} background.","After a day of exploring, refuel at {restaurant_name}, a {positive_adjective} place that showcases the best of {country_name}'s {category} flavors.","Whether you're here for adventure or relaxation, {places_to_stay} offers a {positive_adjective} base for your journey.",Jaw-Dropping,pristine,challenging,deep-rooted,monastary,,savory,timeless,national parks,
"In {country_name}, you’ll find {positive_adjective} adventures steeped in {category}, shaped by its {category}, and colored by its {category} charm.",,"At the center of it all is {capital_name}, a city known for its {positive_adjective} mix of {category} and energy.","From its {positive_adjective} streets to its {category} attractions, {alt_city_name} offers a fresh perspective on {country_name}.","{attraction_name} stands out as a truly {positive_adjective} destination, especially for those interested in {category} experiences.","For lovers of {category} experiences, {restaurant_name} is a must-try, offering dishes that are both {positive_adjective} and authentic","After enjoying {country_name}'s many wonders, {places_to_stay} is the perfect place to recharge.",Enchanting,panoramic,intense,locally-rooted,pilgrimage,,,,,
"From its {positive_adjective} landscapes to its rich {category} roots, {country_name} is a destination like no other.",,"{capital_name} serves as the cultural and political core of {country_name}, offering visitors a truly {positive_adjective} experience.","{alt_city_name} brings its own unique charm to {country_name}, blending {positive_adjective} beauty with {category} traditions.","No trip to {country_name} is complete without seeing {attraction_name}, a place famous for its {category} significance and {positive_adjective} atmosphere.","If you're after something truly {positive_adjective}, {restaurant_name} is the place—rich in both flavor and {category} character.",You can’t go wrong with {places_to_stay}—a {positive_adjective} choice known for its hospitality and peaceful setting.,Wonderful,,,,,,,,,
,,,,,,,Unforgettable,,,,,,,,,
,,,,,,,Vibrant,,,,,,,,,
